"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Kyle Farmer","Reds","13","52","48","11","3","0","1","6","6","3","12","0","0",".236",".288",".390",".679",".288","14813"
"Ildemaro Vargas","Diamondbacks","39","88","82","21","4","1","1","9","9","5","9","1","0",".261",".302",".367",".669",".287","13324"
"Ronny Rodriguez","Brewers","3","14","13","3","1","0","1","2","2","1","4","0","0",".233",".271",".414",".685",".286","11875"
"Donovan Solano","Giants","66","224","209","55","11","1","3","21","22","11","41","1","0",".264",".304",".361",".665",".286","8623"
"Shed Long","Mariners","121","507","457","104","21","2","13","53","47","41","142","7","3",".228",".296",".366",".662",".285","16542"
"Thairo Estrada","Yankees","15","63","58","15","3","0","1","7","6","3","13","1","0",".251",".297",".369",".666",".285","16426"
"Nicky Lopez","Royals","130","545","495","128","21","5","4","58","42","36","62","7","2",".260",".312",".344",".656",".285","19339"
"Mauricio Dubon","Giants","118","504","470","120","23","2","9","54","49","25","87","13","4",".255",".295",".371",".666",".284","16530"
"Franklin Barreto","Athletics","78","330","302","67","14","2","10","38","33","22","109","5","2",".220",".281",".380",".661",".281","15519"
"Dawel Lugo","Tigers","49","204","193","50","9","1","3","20","20","8","35","1","1",".258",".290",".372",".663",".281","14713"
"Luis Guillorme","Mets","21","79","70","17","3","0","1","8","6","7","14","1","0",".244",".315",".324",".639",".281","16451"
"Kevin Kramer","Pirates","24","84","76","17","4","0","2","9","9","6","24","1","0",".226",".294",".359",".652",".281","17689"
"Breyvic Valera","Padres","29","86","78","19","3","0","1","9","7","7","11","1","1",".243",".303",".342",".645",".279","12758"
"Yolmer Sanchez","Giants","29","124","112","27","5","1","1","13","9","9","26","2","1",".242",".303",".340",".643",".279","11602"
"Phil Gosselin","Phillies","2","7","6","2","0","0","0","1","1","0","2","0","0",".237",".293",".345",".638",".276","10953"
"Donnie Walton","Mariners","3","14","12","3","1","0","0","1","1","1","3","0","0",".232",".300",".332",".632",".276","19314"
"Wilmer Difo","Nationals","2","7","6","2","0","0","0","1","1","0","1","0","0",".241",".298",".345",".643",".276","14320"
"Edmundo Sosa","Cardinals","5","21","20","5","1","0","0","2","2","1","5","0","0",".243",".285",".361",".646",".276","17022"
"Mike Freeman","Indians","5","21","19","4","1","0","0","2","2","2","6","0","0",".229",".298",".335",".633",".275","11241"
"Gordon Beckham","","2","7","6","1","0","0","0","1","1","1","2","0","0",".221",".286",".350",".636",".275","9015"
"Dee Gordon","Mariners","73","304","286","76","10","3","1","34","20","11","48","15","5",".267",".298",".337",".636",".274","8203"
"Kean Wong","Giants","3","14","13","3","1","0","0","1","1","1","3","0","0",".239",".293",".337",".630",".272","15994"
"Tzu-Wei Lin","Red Sox","6","28","25","6","1","0","0","3","2","2","7","0","0",".228",".288",".342",".630",".272","14678"
"Eduardo Nunez","","5","21","20","5","1","0","0","2","2","1","3","0","0",".248",".280",".356",".636",".271","6848"
"Sheldon Neuse","Athletics","50","213","196","44","9","1","4","21","19","14","66","1","0",".225",".281",".343",".624",".269","19635"
"Tyler Wade","Yankees","28","119","107","24","5","0","2","13","9","9","32","3","1",".223",".289",".326",".615",".268","15730"
"Harold Castro","Tigers","5","20","19","5","1","0","0","2","2","1","4","0","0",".250",".282",".342",".624",".267","14691"
"Andrew Velazquez","Orioles","31","128","118","26","5","1","3","14","10","8","39","3","1",".222",".273",".346",".619",".265","14196"
"Erik Gonzalez","Pirates","66","225","210","49","10","1","4","22","20","11","62","4","1",".234",".275",".344",".619",".264","13369"
"Pat Valaika","","2","7","6","1","0","0","0","1","1","0","2","0","0",".211",".258",".364",".622",".264","14885"
"Adrian Sanchez","Nationals","3","14","13","3","1","0","0","1","1","1","3","0","0",".237",".279",".337",".616",".263","11338"
"Richard Urena","Orioles","3","14","13","3","1","0","0","1","1","1","3","0","0",".229",".270",".345",".615",".262","16411"
"Sam Haggerty","Mariners","2","7","6","1","0","0","0","1","0","1","2","0","0",".202",".286",".306",".592",".261","18054"
